root=bm001 (Кровати и матрасы)
tree_size=16
suspect_count=486

id=12162 | sku=30621244 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12163 | sku=20572381 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12164 | sku=20576794 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12165 | sku=00342758 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12169 | sku=50449337 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12170 | sku=10621160 | primary=18890 (Наволочки) | linked_to_bm001=true | linked_outside_tree=18890(Наволочки),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12171 | sku=80618041 | primary=10681 (Простыни) | linked_to_bm001=true | linked_outside_tree=10681(Простыни),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12174 | sku=50457600 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),bc002(Товары для новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
id=12175 | sku=80572364 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12177 | sku=30492303 | primary=18692 (Детское постельное белье) | linked_to_bm001=true | linked_outside_tree=18690(Детский текстиль),18692(Детское постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни),bc002(Товары для новорожденных)
id=12179 | sku=70445791 | primary=18776 (Постельное белье) | linked_to_bm001=true | linked_outside_tree=18724(Детские матрасы),18776(Постельное белье),bc001(Товары для детей и новорожденных),tl001(Текстиль и ковры),tl004(Текстиль для спальни)
